Code,variable,value
3412,Non_sch_quals_PostGrad_Dgre_M,3
3413,Non_sch_quals_PostGrad_Dgre_M,0
3414,Non_sch_quals_PostGrad_Dgre_M,5
3418,Non_sch_quals_PostGrad_Dgre_M,14
3419,Non_sch_quals_PostGrad_Dgre_M,0
3420,Non_sch_quals_PostGrad_Dgre_M,0
3423,Non_sch_quals_PostGrad_Dgre_M,0
3424,Non_sch_quals_PostGrad_Dgre_M,4
3427,Non_sch_quals_PostGrad_Dgre_M,10
3428,Non_sch_quals_PostGrad_Dgre_M,8
3429,Non_sch_quals_PostGrad_Dgre_M,221
3430,Non_sch_quals_PostGrad_Dgre_M,4
3431,Non_sch_quals_PostGrad_Dgre_M,45
3433,Non_sch_quals_PostGrad_Dgre_M,3
3434,Non_sch_quals_PostGrad_Dgre_M,26
3435,Non_sch_quals_PostGrad_Dgre_M,21
3437,Non_sch_quals_PostGrad_Dgre_M,101
3438,Non_sch_quals_PostGrad_Dgre_M,29
3440,Non_sch_quals_PostGrad_Dgre_M,36
3441,Non_sch_quals_PostGrad_Dgre_M,31
3442,Non_sch_quals_PostGrad_Dgre_M,138
3444,Non_sch_quals_PostGrad_Dgre_M,84
3446,Non_sch_quals_PostGrad_Dgre_M,6
3447,Non_sch_quals_PostGrad_Dgre_M,5
3448,Non_sch_quals_PostGrad_Dgre_M,9
3450,Non_sch_quals_PostGrad_Dgre_M,112
3451,Non_sch_quals_PostGrad_Dgre_M,44
3453,Non_sch_quals_PostGrad_Dgre_M,17
3458,Non_sch_quals_PostGrad_Dgre_M,26
3460,Non_sch_quals_PostGrad_Dgre_M,38
3461,Non_sch_quals_PostGrad_Dgre_M,53
3462,Non_sch_quals_PostGrad_Dgre_M,13
3463,Non_sch_quals_PostGrad_Dgre_M,30
3464,Non_sch_quals_PostGrad_Dgre_M,9
3465,Non_sch_quals_PostGrad_Dgre_M,15
3467,Non_sch_quals_PostGrad_Dgre_M,4
3468,Non_sch_quals_PostGrad_Dgre_M,0
3469,Non_sch_quals_PostGrad_Dgre_M,3
3472,Non_sch_quals_PostGrad_Dgre_M,3
3475,Non_sch_quals_PostGrad_Dgre_M,3
3477,Non_sch_quals_PostGrad_Dgre_M,0
3478,Non_sch_quals_PostGrad_Dgre_M,7
3480,Non_sch_quals_PostGrad_Dgre_M,5
3482,Non_sch_quals_PostGrad_Dgre_M,0
3483,Non_sch_quals_PostGrad_Dgre_M,0
3485,Non_sch_quals_PostGrad_Dgre_M,0
3490,Non_sch_quals_PostGrad_Dgre_M,3
3491,Non_sch_quals_PostGrad_Dgre_M,3
3494,Non_sch_quals_PostGrad_Dgre_M,3
3496,Non_sch_quals_PostGrad_Dgre_M,11
3498,Non_sch_quals_PostGrad_Dgre_M,13
3500,Non_sch_quals_PostGrad_Dgre_M,117
3501,Non_sch_quals_PostGrad_Dgre_M,3
3505,Non_sch_quals_PostGrad_Dgre_M,14
3507,Non_sch_quals_PostGrad_Dgre_M,0
3509,Non_sch_quals_PostGrad_Dgre_M,0
3512,Non_sch_quals_PostGrad_Dgre_M,0
3515,Non_sch_quals_PostGrad_Dgre_M,3
3516,Non_sch_quals_PostGrad_Dgre_M,0
3517,Non_sch_quals_PostGrad_Dgre_M,6
3518,Non_sch_quals_PostGrad_Dgre_M,5
3520,Non_sch_quals_PostGrad_Dgre_M,0
3521,Non_sch_quals_PostGrad_Dgre_M,3
3522,Non_sch_quals_PostGrad_Dgre_M,4
3523,Non_sch_quals_PostGrad_Dgre_M,16
3525,Non_sch_quals_PostGrad_Dgre_M,5
3527,Non_sch_quals_PostGrad_Dgre_M,5
3530,Non_sch_quals_PostGrad_Dgre_M,0
3531,Non_sch_quals_PostGrad_Dgre_M,0
3533,Non_sch_quals_PostGrad_Dgre_M,0
3537,Non_sch_quals_PostGrad_Dgre_M,3
3540,Non_sch_quals_PostGrad_Dgre_M,0
3542,Non_sch_quals_PostGrad_Dgre_M,0
3544,Non_sch_quals_PostGrad_Dgre_M,0
3546,Non_sch_quals_PostGrad_Dgre_M,3
3549,Non_sch_quals_PostGrad_Dgre_M,9
3550,Non_sch_quals_PostGrad_Dgre_M,428
3551,Non_sch_quals_PostGrad_Dgre_M,167
3555,Non_sch_quals_PostGrad_Dgre_M,81
3556,Non_sch_quals_PostGrad_Dgre_M,30
3557,Non_sch_quals_PostGrad_Dgre_M,0
3558,Non_sch_quals_PostGrad_Dgre_M,3
3559,Non_sch_quals_PostGrad_Dgre_M,0
3561,Non_sch_quals_PostGrad_Dgre_M,7
3562,Non_sch_quals_PostGrad_Dgre_M,0
3563,Non_sch_quals_PostGrad_Dgre_M,0
3564,Non_sch_quals_PostGrad_Dgre_M,40
3566,Non_sch_quals_PostGrad_Dgre_M,0
3567,Non_sch_quals_PostGrad_Dgre_M,0
3568,Non_sch_quals_PostGrad_Dgre_M,4
3570,Non_sch_quals_PostGrad_Dgre_M,3
3571,Non_sch_quals_PostGrad_Dgre_M,0
3572,Non_sch_quals_PostGrad_Dgre_M,0
3573,Non_sch_quals_PostGrad_Dgre_M,0
3575,Non_sch_quals_PostGrad_Dgre_M,0
3579,Non_sch_quals_PostGrad_Dgre_M,10
3580,Non_sch_quals_PostGrad_Dgre_M,0
3581,Non_sch_quals_PostGrad_Dgre_M,0
3584,Non_sch_quals_PostGrad_Dgre_M,3
3585,Non_sch_quals_PostGrad_Dgre_M,30
3586,Non_sch_quals_PostGrad_Dgre_M,0
3588,Non_sch_quals_PostGrad_Dgre_M,0
3589,Non_sch_quals_PostGrad_Dgre_M,0
3590,Non_sch_quals_PostGrad_Dgre_M,3
3591,Non_sch_quals_PostGrad_Dgre_M,0
3594,Non_sch_quals_PostGrad_Dgre_M,3
3595,Non_sch_quals_PostGrad_Dgre_M,0
3596,Non_sch_quals_PostGrad_Dgre_M,0
3597,Non_sch_quals_PostGrad_Dgre_M,0
3608,Non_sch_quals_PostGrad_Dgre_M,4
3610,Non_sch_quals_PostGrad_Dgre_M,6
3612,Non_sch_quals_PostGrad_Dgre_M,3
3614,Non_sch_quals_PostGrad_Dgre_M,4
3616,Non_sch_quals_PostGrad_Dgre_M,30
3617,Non_sch_quals_PostGrad_Dgre_M,0
3618,Non_sch_quals_PostGrad_Dgre_M,0
3620,Non_sch_quals_PostGrad_Dgre_M,25
3621,Non_sch_quals_PostGrad_Dgre_M,5
3622,Non_sch_quals_PostGrad_Dgre_M,0
3623,Non_sch_quals_PostGrad_Dgre_M,3
3624,Non_sch_quals_PostGrad_Dgre_M,0
3629,Non_sch_quals_PostGrad_Dgre_M,11
3630,Non_sch_quals_PostGrad_Dgre_M,180
3631,Non_sch_quals_PostGrad_Dgre_M,68
3633,Non_sch_quals_PostGrad_Dgre_M,0
3634,Non_sch_quals_PostGrad_Dgre_M,8
3635,Non_sch_quals_PostGrad_Dgre_M,3
3636,Non_sch_quals_PostGrad_Dgre_M,7
3637,Non_sch_quals_PostGrad_Dgre_M,3
3638,Non_sch_quals_PostGrad_Dgre_M,0
3639,Non_sch_quals_PostGrad_Dgre_M,0
3640,Non_sch_quals_PostGrad_Dgre_M,0
3641,Non_sch_quals_PostGrad_Dgre_M,0
3644,Non_sch_quals_PostGrad_Dgre_M,20
3646,Non_sch_quals_PostGrad_Dgre_M,5
3649,Non_sch_quals_PostGrad_Dgre_M,0
3658,Non_sch_quals_PostGrad_Dgre_M,29
3659,Non_sch_quals_PostGrad_Dgre_M,6
3660,Non_sch_quals_PostGrad_Dgre_M,24
