Code,Area sqkm,Tot_P_M,Tot_P_F,Tot_P_P,R_Tot_Total,O_Tot_Total,0-9F,0-9M,10-19F,10-19M,20-29F,20-29M,30-39F,30-39M,40-49F,40-49M,50-59F,50-59M,60-69F,60-69M,70-79F,70-79M,80-89F,80-89M,90+F,90+M,Median_Tot_fam_inc_weekly,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_school_quals_Cert_Level_M,Non_school_quals_Cert_Level_F,A,B
3121,6.21236,12788,13333,26121,6066,4975,2150,2080,1552,1436,7168,6282,6076,6470,3216,3558,2638,2370,1932,1772,1184,1078,330,237,45,28,2188,853,896,345,603,3311,3740,859,1031,1232,789,369.0,2688.0
3122,5.73081,10430,10747,21177,4357,4121,1820,1938,2038,2206,5592,6022,3696,3722,2680,2298,2124,1922,1710,1530,914,800,341,185,120,26,2492,1268,1024,306,480,2754,3111,744,939,697,513,183.0,1216.0
3123,3.76903,6349,6753,13102,1964,3017,1344,1466,1268,1434,2860,2884,2186,2116,1726,1584,1610,1342,1128,1050,676,524,288,134,66,14,2556,707,539,179,314,1593,1859,438,631,482,328,29.0,335.0
3124,7.29157,9388,10641,20029,1498,5245,2332,2296,2900,2738,2424,2580,2158,1796,3230,2790,2958,2620,2226,2048,1224,1078,625,327,290,88,2613,979,734,235,425,2227,2467,678,945,720,504,97.0,859.0
3125,6.03368,6065,7097,13162,1424,3013,1274,1328,1848,1424,3064,2968,1588,1538,1692,1492,1356,1196,1110,818,944,714,532,282,128,45,1569,430,379,112,167,1115,1260,510,641,687,385,88.0,558.0
3126,3.02727,3677,4180,7857,542,2047,756,824,1224,1230,912,850,644,486,1326,996,1254,1242,898,860,550,488,270,145,128,44,2763,418,277,98,183,886,962,262,418,217,169,28.0,196.0
3127,6.13208,8619,9470,18089,1462,4793,2132,2292,2600,2470,2492,2446,2064,1836,3004,2676,2840,2536,1754,1674,1026,764,420,231,95,40,2552,819,648,271,460,2037,2205,638,924,701,461,58.0,477.0
3128,7.01238,8448,8922,17370,2506,3612,1714,1782,1848,1984,3768,3992,2366,2426,2374,2212,2082,1902,1280,1124,1108,752,533,304,121,55,1569,570,524,176,305,1580,1753,736,832,896,500,228.0,1146.0
3129,6.06156,7703,8359,16062,1478,4350,1910,2018,1882,1880,2134,2438,2228,2054,2600,2242,2062,1870,1582,1288,1308,918,421,321,85,27,1678,492,436,178,319,1383,1608,570,751,945,539,53.0,290.0
3130,12.2039,14637,15772,30409,2260,8420,3832,3980,3594,3742,3260,3582,4114,3738,4744,4424,3748,3492,2948,2518,2678,2062,1103,752,209,116,1788,842,714,340,563,2460,2758,1116,1386,1933,1081,136.0,716.0
3131,9.14873,10039,10962,21001,2004,5683,2684,2650,2118,2252,2494,2836,3226,3122,3172,2968,2418,2174,2110,1672,1898,1412,701,423,201,73,1509,517,448,193,270,1518,1786,819,898,1488,829,108.0,1080.0
